Dataset,Framework,Acc,F1 Score,AUC
cifar10,FedAPM,$0.738_{\pm0.005}$,$0.725_{\pm0.005}$,$0.873_{\pm0.010}$
cifar10,FedAvg,$0.435_{\pm0.012}$,$0.345_{\pm0.010}$,$0.602_{\pm0.011}$
cifar10,FedAlt,$0.672_{\pm0.006}$,$0.649_{\pm0.005}$,$0.839_{\pm0.011}$
cifar10,FedSim,$0.592_{\pm0.005}$,$0.565_{\pm0.004}$,$0.808_{\pm0.010}$
cifar10,FedProx,$0.406_{\pm0.010}$,$0.307_{\pm0.005}$,$0.571_{\pm0.011}$
crisis_mmd,FedAPM,$0.357_{\pm0.028}$,$0.294_{\pm0.008}$,$0.519_{\pm0.015}$
crisis_mmd,FedAvg,$0.374_{\pm0.023}$,$0.288_{\pm0.012}$,$0.510_{\pm0.027}$
crisis_mmd,FedAlt,$0.364_{\pm0.025}$,$0.289_{\pm0.010}$,$0.513_{\pm0.019}$
crisis_mmd,FedSim,$0.364_{\pm0.025}$,$0.291_{\pm0.009}$,$0.514_{\pm0.019}$
crisis_mmd,FedProx,$0.380_{\pm0.017}$,$0.291_{\pm0.009}$,$0.507_{\pm0.024}$
ku_har,FedAPM,$0.437_{\pm0.051}$,$0.396_{\pm0.061}$,$0.595_{\pm0.002}$
ku_har,FedAvg,$0.142_{\pm0.004}$,$0.050_{\pm0.004}$,$0.464_{\pm0.023}$
ku_har,FedAlt,$0.196_{\pm0.017}$,$0.105_{\pm0.022}$,$0.562_{\pm0.006}$
ku_har,FedSim,$0.196_{\pm0.012}$,$0.105_{\pm0.017}$,$0.566_{\pm0.007}$
ku_har,FedProx,$0.143_{\pm0.005}$,$0.049_{\pm0.005}$,$0.453_{\pm0.023}$
crema_d,FedAPM,$0.651_{\pm0.007}$,$0.590_{\pm0.009}$,$0.695_{\pm0.018}$
crema_d,FedAvg,$0.434_{\pm0.025}$,$0.295_{\pm0.041}$,$0.604_{\pm0.044}$
crema_d,FedAlt,$0.444_{\pm0.031}$,$0.304_{\pm0.042}$,$0.642_{\pm0.020}$
crema_d,FedSim,$0.444_{\pm0.031}$,$0.304_{\pm0.042}$,$0.643_{\pm0.020}$
crema_d,FedProx,$0.438_{\pm0.032}$,$0.297_{\pm0.045}$,$0.600_{\pm0.046}$
