seed,framework,max_test_acc,max_f1_score,max_auc
1,FedAPM,,,
1,FedAvg,,,
1,FedAlt,,,
1,FedSim,,,
1,FedProx,,,
2,FedAPM,,,
2,FedAvg,,,
2,FedAlt,,,
2,FedSim,,,
2,FedProx,,,
3,FedAPM,,,
3,FedAvg,,,
3,FedAlt,,,
3,FedSim,,,
3,FedProx,,,
4,FedAPM,,,
4,FedAvg,,,
4,FedAlt,,,
4,FedSim,,,
4,FedProx,,,
5,FedAPM,,,
5,FedAvg,,,
5,FedAlt,,,
5,FedSim,,,
5,FedProx,,,
6,FedAPM,,,
6,FedAvg,,,
6,FedAlt,,,
6,FedSim,,,
6,FedProx,,,
7,FedAPM,,,
7,FedAvg,,,
7,FedAlt,,,
7,FedSim,,,
7,FedProx,,,
8,FedAPM,,,
8,FedAvg,,,
8,FedAlt,,,
8,FedSim,,,
8,FedProx,,,
9,FedAPM,,,
9,FedAvg,,,
9,FedAlt,,,
9,FedSim,,,
9,FedProx,,,
10,FedAPM,,,
10,FedAvg,,,
10,FedAlt,,,
10,FedSim,,,
10,FedProx,,,
11,FedAPM,,,
11,FedAvg,,,
11,FedAlt,,,
11,FedSim,,,
11,FedProx,,,
12,FedAPM,,,
12,FedAvg,,,
12,FedAlt,,,
12,FedSim,,,
12,FedProx,,,
13,FedAPM,,,
13,FedAvg,,,
13,FedAlt,,,
13,FedSim,,,
13,FedProx,,,
14,FedAPM,,,
14,FedAvg,,,
14,FedAlt,,,
14,FedSim,,,
14,FedProx,,,
15,FedAPM,,,
15,FedAvg,,,
15,FedAlt,,,
15,FedSim,,,
15,FedProx,,,
